Time,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,Current_gear_shift_position_(Current_gear),sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,Vehicle_Speed,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1,Predicted_sum,,,
360000,38.65452157,22.1015625,22.50318031,3,0,13.67773438,12.21702157,1,37.04964049,25.27752092,657.4380531,-18.59015487,13.98165273,0.123458457,318.7582965,3.138989474,0.239292381,87.99294801,71914.87555,41220.28,,,
361000,38.85644531,22.1015625,22.53710938,2,0,13.67966135,8.720075335,1,37.36003767,25.49591065,637.0602679,-16.40680804,13.98553467,0.124560765,321.1222098,3.07737078,0.234200614,87.9813058,72149.55371,41486.07,,,
362000,39.0316723,22.1015625,22.57819538,1,0,13.69042969,5.368806306,1,41.91976351,29.49251742,601.8986486,-5.469031532,13.92482228,0.144129848,374.0551802,3.764384502,0.280792511,87.97892033,72393.74339,41751.484,,,
363000,39.20075335,22.1015625,22.59953962,0,0,13.69042969,1.297223772,1,45.78742327,32.20323835,582.7332589,-4,13.84258597,0.157264982,409.2751116,3.675488063,0.301853725,87.95103237,72701.58496,42021.7,,,
364000,39.37851914,22.1015625,22.58614865,0,0,13.69658819,0,1,45.75281532,32.15332031,566.0540541,-3.052927928,13.70315579,0.15703301,408.1306306,3.600386886,0.275021115,87.96533643,72982.06208,42286.586,,,
365000,39.55678013,22.1015625,22.64913504,0,0,13.70263672,0,1,46.49016462,32.73903983,571.2868304,-2.191964286,13.750497,0.15993418,416.016183,3.741046361,0.282104492,87.96875,73264.3418,42538.105,,,
366000,39.73686394,22.1015625,22.6244469,0,0,13.70263672,0,1,46.8484859,33.01731886,585.625,-2.148783186,13.86949495,0.161221124,419.7179204,3.861148801,0.290514381,87.96256222,73547.96861,42776.47,,,
367000,39.9170354,22.1015625,22.63744469,0,0,13.71207394,0,1,47.2433974,33.36959434,591.9867257,-1.803650442,13.92258798,0.163038676,424.2228982,3.984218361,0.298266386,87.9801922,73847.40363,43005.234,,,
368000,40.05736205,22.1015625,22.65554617,0,0,13.71533203,0,1,46.55116836,32.80876091,609.9234234,-2.523648649,13.95341533,0.160262924,417.6007883,3.950569222,0.296558277,87.9880701,74148.36135,43227.477,,,
369000,40.21275112,22.1015625,22.67703683,0,0,13.71533203,0,1,46.06703404,32.48530797,615.5658482,-2.484375,13.95774623,0.158651624,413.328125,3.979819162,0.298950195,88.00425502,74435.97992,43445.45,,,
